School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
Northwood,GLIAC,Kristian Stojanovski,Jr.,,,,USA,"Shelby Twp., Mich. / Utica",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Northwood,GLIAC,Aaron Kluesner,Jr.,,,,USA,"Livonia, Mich. / Clarenceville",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Northwood,GLIAC,Alex Davenport,Jr.,,,,USA,"New Boston, Mich. / Huron",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Midfielder
Northwood,GLIAC,Bodhi Wideman,Fr.,,,,USA,"Saginaw, Mich. / Heritage",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Forward
Northwood,GLIAC,Landon Deheus,So.,,,,USA,"Grandville, Mich. / Grandville",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2028,Defender
Northwood,GLIAC,Angelo Sanchez,Fr.,,,,USA,"Commerce, Mich. / Walled Lake Central",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Defender
Northwood,GLIAC,Alex Bilan,Fr.,,,,USA,"Walled Lake, Mich. / Walled Lake Central",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Midfielder
Northwood,GLIAC,Blaise Snabes,R-Jr.,,,,USA,"Charlevoix, Mich. / Charlevoix",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2027,Forward
Northwood,GLIAC,Peyton Mull,So.,,,,USA,"Walker, Mich. / Kenowa Hills",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2028,Forward
Northwood,GLIAC,Isaac Fernandez,So.,,,,USA,"Holland, Mich. / Zeeland East",,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2028,Defender
Northwood,GLIAC,Albie Perez,Fr.,,,,International,"London, England / Leighton Park",United Kingdom,,https://www.gonorthwood.com/sports/msoc/2024-25/roster,High,direct read of official 2024 roster page; 2025 name overlap 0%,2029,Goalkeeper
Nova Southeastern,Sunshine State,Henrik Dahl,So.,,,,International,"Kristiansand, Norway",Norway,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Goalkeeper
Nova Southeastern,Sunshine State,Paul Boos-Patton,Jr.,,,,USA,"Miramar, Fla.",,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Defender
Nova Southeastern,Sunshine State,Ade Olumyiwa,Gr.,,,,International,"London, UK",United Kingdom,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2025,Defender
Nova Southeastern,Sunshine State,Noah Holtschoppen,Jr.,,,,International,"Nettetal, Germany",Germany,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Defender
Nova Southeastern,Sunshine State,Sunao Yamamoto,Jr.,,,,International,"Kiryu, Japan",Japan,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Midfielder
Nova Southeastern,Sunshine State,Zac Hasler,Gr.,,,,International,"Västerås, Sweden",Sweden,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2025,Midfielder
Nova Southeastern,Sunshine State,Kevin Rubaszewski,Sr.,,,,International,"Geilenkirchen, Germany",Germany,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Nova Southeastern,Sunshine State,Amedeo Tufano,Jr.,,,,International,"Napoli, Italy",Italy,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Defender
Nova Southeastern,Sunshine State,Markus Rokseth,So.,,,,International,"Birkeland, Agder, Norway",Norway,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Forward
Nova Southeastern,Sunshine State,Santino Scerbo,So.,,,,International,"Buenos Aires, Argentina",Argentina,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Goalkeeper
Nova Southeastern,Sunshine State,Jamie Bulloch,Fr.,,,,International,"Edinburgh, Scotland",United Kingdom,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Midfielder
Nova Southeastern,Sunshine State,Santiago Marengo,Sr.,,,,International,"Buenos Aires, Argentina",Argentina,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Nova Southeastern,Sunshine State,Marco Gueli,Sr.,,,,International,"Calw, Germany",Germany,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Nova Southeastern,Sunshine State,Alessandro Salvadego,Sr.,,,,International,"Belluno, Italy",Italy,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Nova Southeastern,Sunshine State,Reda Maadir,Fr.,,,,USA,"Miami, FL",,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Forward
Nova Southeastern,Sunshine State,Theo Oherwall,Jr.,,,,International,"Helsingborg, Sweden",Sweden,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Midfielder
Nova Southeastern,Sunshine State,Noah Gjervik,Jr.,,,,USA,"Rochester, Minn.",,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Defender
Nova Southeastern,Sunshine State,Fabio Hasler,Sr.,,,,International,"Frauenfeld, Switzerland",Switzerland,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Defender
Nova Southeastern,Sunshine State,Matteo Innocenti,Jr.,,,,International,"Rome, Italy",Italy,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Midfielder
Nova Southeastern,Sunshine State,Furkan Artar,Sr.,,,,International,"Leverkusen, Germany",Germany,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Defender
Nova Southeastern,Sunshine State,Massimo Natoli,Jr.,,,,USA,"Miami Beach, Fla.",,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Midfielder
Nova Southeastern,Sunshine State,Mani Steinbjornsson,Fr.,,,,International,"Hafnarfjörður, Iceland",Iceland,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Nova Southeastern,Sunshine State,Nikolas Ricardo,So.,,,,USA,"Miami, Fla.",,,https://nsusharks.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Goalkeeper
Ohio Dominican,GMAC,Gannon Graf,Jr.,,,,USA,"North Olmsted, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Goalkeeper
Ohio Dominican,GMAC,Mune Manoto,Jr.,,,,USA,"Blantyre, Mo.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Goalkeeper
Ohio Dominican,GMAC,Ean Encarnacion,So.,,,,USA,"Delaware, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Midfielder
Ohio Dominican,GMAC,Logan French,So.,,,,USA,"Pataskala, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Midfielder
Ohio Dominican,GMAC,Felipe Corral,Jr.,,,,USA,"Lake Zurich, Ill.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Forward
Ohio Dominican,GMAC,Noah Swart,Fr.,,,,USA,"Logan, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2029,Forward
Ohio Dominican,GMAC,Evan French,So.,,,,USA,"Canal Winchester, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Midfielder
Ohio Dominican,GMAC,Aiden Crowley,So.,,,,USA,"Springboro, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Midfielder
Ohio Dominican,GMAC,Blaivon James,Jr.,,,,International,"Old Road, Antigua",Antigua and Barbuda,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Midfielder
Ohio Dominican,GMAC,Mamadou Sow,Fr.,,,,USA,"Canal Winchester, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2029,Forward
Ohio Dominican,GMAC,Evan Reppeto,So.,,,,USA,"South Lebanon, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Midfielder
Ohio Dominican,GMAC,Abdifatah Mohamud,Fr.,,,,USA,"Dublin, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2029,Defender
Ohio Dominican,GMAC,Brenton Molli,Jr.,,,,USA,"Gahanna, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Forward
Ohio Dominican,GMAC,Kaiden Koch,Fr.,,,,USA,"Chillicothe, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2029,Forward
Ohio Dominican,GMAC,Amadou Sy,So.,,,,USA,"Columbus, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Forward
Ohio Dominican,GMAC,Yagouba Barry,So.,,,,USA,"Columbus, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Defender
Ohio Dominican,GMAC,John Sutton,So.,,,,USA,"Beavercreek, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Defender
Ohio Dominican,GMAC,Ethan Jonassen,Jr.,,,,USA,"Allen Park, Mich.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Forward
Ohio Dominican,GMAC,Mubelele Mhango,Sr.,,,,International,"Blantyre, Malawi",Malawi,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2026,Forward
Ohio Dominican,GMAC,Emmanual Frimpong,Sr.,,,,International,"Kumasi, Ghana",Ghana,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2026,Forward
Ohio Dominican,GMAC,Brad Leonard,Jr.,,,,USA,"Westerville, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Midfielder
Ohio Dominican,GMAC,Mohamed Sheik,Gr.,,,,USA,"Columbus, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2025,Midfielder
Ohio Dominican,GMAC,Thomas Charlton,So.,,,,USA,"Elyria, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Defender
Ohio Dominican,GMAC,Daniel Alvarez,Jr.,,,,International,"Zaragoa, Spain",Spain,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Midfielder
Ohio Dominican,GMAC,Dylan Kern,So.,,,,USA,"Chandler, Ariz.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Defender
Ohio Dominican,GMAC,Lucas Baker,Jr.,,,,USA,"Hilliard, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2027,Forward
Ohio Dominican,GMAC,Abdullahi Daud,Fr.,,,,,,,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2029,
Ohio Dominican,GMAC,Zach Lockwood,So.,,,,USA,"Bakersfield, Calif.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2028,Defender
Ohio Dominican,GMAC,Josh Moneme,Gr.,,,,USA,Washington D.C.,,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2025,Forward
Ohio Dominican,GMAC,Liam Morris,Sr.,,,,USA,"Escondido, Calif.",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2026,Goalkeeper
Ohio Dominican,GMAC,Veron Fongeh,Sr.,,,,USA,"Reynoldsburg, Ohio",,,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 52%,2026,Forward
Oklahoma Christian,Heartland,Axton Pickard,Jr.,,,,USA,"Edmond, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Goalkeeper
Oklahoma Christian,Heartland,Fynn Koerner,Gr.,,,,International,"Hamburg, Germany",Germany,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2025,Goalkeeper
Oklahoma Christian,Heartland,Renato Disha,So.,,,,International,"Peshkopi, Albania",Albania,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2028,Defender
Oklahoma Christian,Heartland,Zac Pentony,Fr.,,,,International,"Perth, Australia",Australia,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Jorge Blanc,So.,,,,International,"Santiago, Dominican Republic",Dominican Republic,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2028,Defender
Oklahoma Christian,Heartland,Gerome Gohlke,R-Fr.,,,,International,"Hamburg, Germany",Germany,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Luca Friederich,Jr.,,,,International,"Zihlschlacht, Switzerland",Switzerland,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Defender
Oklahoma Christian,Heartland,Moritz Richter,Fr.,,,,International,"Leipzig, Germany",Germany,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Igor Caballero,So.,,,,International,"San Sebastian, Spain",Spain,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2028,Midfielder
Oklahoma Christian,Heartland,Isaias Silva,Sr.,,,,USA,"Mustang, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2026,Forward
Oklahoma Christian,Heartland,Joep Claassen,Gr.,,,,International,"Deurne, Netherlands",Netherlands,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2025,Midfielder
Oklahoma Christian,Heartland,Ethan Nakolo,Fr.,,,,USA,"Yukon, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Forward
Oklahoma Christian,Heartland,Mason Thornhill,Sr.,,,,USA,"Arcadia, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2026,Forward
Oklahoma Christian,Heartland,Luis Alvis,Fr.,,,,International,"Ibague, Colombia",Colombia,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Midfielder
Oklahoma Christian,Heartland,Daniel Gutierrez,Jr.,,,,USA,"Oklahoma City, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Midfielder
Oklahoma Christian,Heartland,Aaron Dahlmann,Fr.,,,,International,"Braunschweig, Germany",Germany,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Midfielder
Oklahoma Christian,Heartland,Ashton Mullins,Fr.,,,,USA,"Mustang, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Owen Anforth,Jr.,,,,International,"Burnley, England",United Kingdom,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Defender
Oklahoma Christian,Heartland,Julian Quesada,Fr.,,,,International,"Heredia, Costa Rica",Costa Rica,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Forward
Oklahoma Christian,Heartland,Ezra Moser,Sr.,,,,USA,"Norman, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2026,Midfielder
Oklahoma Christian,Heartland,Alejandro Gomez,So.,,,,International,"Madrid, Spain",Spain,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2028,Midfielder
Oklahoma Christian,Heartland,David Pepple,Fr.,,,,International,"Leicester, England",United Kingdom,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Graham Gauvin,Fr.,,,,USA,"Guthrie, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Forward
Oklahoma Christian,Heartland,Joshua Wells,Fr.,,,,International,"Auckland, New Zealand",New Zealand,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Dylan Leissner,Fr.,,,,USA,"Mustang, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Pepe Hinterschuster,Fr.,,,,International,"Neustrelitz, Germany",Germany,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Goalkeeper
Oklahoma Christian,Heartland,Manuel Mbumwae,Jr.,,,,International,"Kalomo, Zambia",Zambia,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Forward
Oklahoma Christian,Heartland,Ivan Castaneda,Fr.,,,,USA,"Oklahoma City, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Forward
Oklahoma Christian,Heartland,Luke Habermacher,Jr.,,,,USA,"Houston, Texas",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Defender
Oklahoma Christian,Heartland,Garron Dill,Jr.,,,,USA,"Broken Arrow, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Defender
Oklahoma Christian,Heartland,Misael Santos,Fr.,,,,USA,"Oklahoma City, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Defender
Oklahoma Christian,Heartland,Jonathan Labry,Fr.,,,,USA,"The Woodlands, Texas",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Midfielder
Oklahoma Christian,Heartland,Gabe Angle,Jr.,,,,USA,"Norman, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Defender
Oklahoma Christian,Heartland,Diego Carrasco,Fr.,,,,International,"Barquisimeto, Venezuela",Venezuela,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2029,Midfielder
Oklahoma Christian,Heartland,Enrique Luque,Gr.,,,,International,"Parque de Valencia, Mexico",Mexico,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2025,Midfielder
Oklahoma Christian,Heartland,Alex Angeles,Jr.,,,,USA,"Edmond, Okla.",,,https://oceagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 50%,2027,Midfielder
Ouachita Baptist,GAC,Dillon Staal,Jr.,,,,USA,"Gonzales, Louisiana",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Goalkeeper
Ouachita Baptist,GAC,Hunter Reck,So.,,,,USA,"Lucas, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Defender
Ouachita Baptist,GAC,Brayden Hall,Jr.,,,,USA,"The Colony, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Defender
Ouachita Baptist,GAC,Ebe Bol,Fr.,,,,USA,The Hague,,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Defender
Ouachita Baptist,GAC,Kristian Baker,Jr.,,,,USA,"Little Rock, Arkansas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Defender
Ouachita Baptist,GAC,Nathan Frost,So.,,,,USA,"Rowlett, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Midfielder
Ouachita Baptist,GAC,CJ Washington,Jr.,,,,USA,"Rowlett, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Forward
Ouachita Baptist,GAC,Eli Stuart,Sr.,,,,USA,"Conway, Arkansas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ouachita Baptist,GAC,João Gonçalves,Sr.,,,,International,"Alcains, Portugal",Portugal,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Forward
Ouachita Baptist,GAC,Grant Isbell,Sr.,,,,USA,"Colleyville, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Forward
Ouachita Baptist,GAC,Isaac Murie,Fr.,,,,USA,"Jacksonville, Florida",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Goalkeeper
Ouachita Baptist,GAC,Alexis Murillo,Jr.,,,,USA,"Fort Worth, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Midfielder
Ouachita Baptist,GAC,Alexander San Martin,Fr.,,,,USA,"Dallas, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Midfielder
Ouachita Baptist,GAC,Jared Garcia,Fr.,,,,USA,"Houston, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Defender
Ouachita Baptist,GAC,Alfonso Gonzalez Gomez,Jr.,,,,USA,"Miami, Florida",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Defender
Ouachita Baptist,GAC,Jacoby Welsh,Fr.,,,,USA,"Weatherford, Oklahoma",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Midfielder
Ouachita Baptist,GAC,Daniel Lee,So.,,,,USA,"Texarkana, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Defender
Ouachita Baptist,GAC,Imanol Barragán,Jr.,,,,USA,"Hot Springs, Arkansas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Midfielder
Ouachita Baptist,GAC,Landon Summers,Fr.,,,,USA,"Forney, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Goalkeeper
Ouachita Baptist,GAC,Zebastian Rios,So.,,,,USA,"Sachse, Texas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Forward
Ouachita Baptist,GAC,Brandon Pallares,So.,,,,USA,"Miami, Florida",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Defender
Ouachita Baptist,GAC,Harper Havens,Fr.,,,,USA,"North Little Rock, Arkansas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Midfielder
Ouachita Baptist,GAC,Tavin Wright,Jr.,,,,USA,"Hot Springs, Arkansas",,,https://obutigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Midfielder
